time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577964758.066332,psf_trial6_00006191.fits,-1.332576,-2.304557,12.076276,52.000000,43.000000
1577964758.869139,psf_trial6_00006197.fits,-0.774666,-3.325700,-9.433364,52.000000,44.000000
1577964759.668973,psf_trial6_00006202.fits,-0.878058,-4.201583,-9.442768,52.000000,44.000000
1577964760.467699,psf_trial6_00006208.fits,-0.879242,-3.395503,-9.670514,52.000000,44.000000
1577964761.285652,psf_trial6_00006214.fits,-1.040890,-4.220644,-12.787280,52.000000,44.000000
1577964762.085408,psf_trial6_00006219.fits,-1.523421,-4.855093,-8.589710,52.000000,44.000000
1577964762.900805,psf_trial6_00006225.fits,-1.632023,-7.103033,-10.035430,52.000000,44.000000
1577964763.706464,psf_trial6_00006231.fits,-1.467695,-8.788854,-1.755359,52.000000,44.000000
1577964764.521471,psf_trial6_00006236.fits,-1.234892,-8.500598,-7.368448,52.000000,44.000000
1577964765.320764,psf_trial6_00006242.fits,-1.051800,-8.400815,-4.559401,52.000000,44.000000
1577964766.132898,psf_trial6_00006247.fits,-1.318895,-8.877874,-0.940622,52.000000,44.000000
1577964766.926516,psf_trial6_00006253.fits,-1.316341,-8.879168,0.243463,52.000000,44.000000
1577964767.737128,psf_trial6_00006259.fits,-1.316341,-8.879168,0.243463,52.000000,44.000000
1577964768.546095,psf_trial6_00006264.fits,-1.315074,-6.301489,0.275659,52.000000,44.000000
1577964769.350933,psf_trial6_00006270.fits,-1.316341,-8.879168,0.243463,52.000000,44.000000
1577964770.170532,psf_trial6_00006275.fits,-1.316341,-8.879168,0.243463,52.000000,44.000000
1577964770.985080,psf_trial6_00006281.fits,-1.057018,-7.097046,-4.408114,52.000000,44.000000
1577964771.788306,psf_trial6_00006287.fits,-1.052161,-7.043536,-3.562020,52.000000,44.000000
1577964772.599173,psf_trial6_00006292.fits,-1.159560,-7.937308,-1.109304,52.000000,44.000000
1577964773.405985,psf_trial6_00006298.fits,-1.153909,-2.866428,-0.825395,52.000000,44.000000
1577964774.208780,psf_trial6_00006304.fits,-0.905892,3.445473,-3.877351,52.000000,44.000000
1577964775.018843,psf_trial6_00006309.fits,-0.806606,-0.244448,-3.961031,52.000000,44.000000
1577964775.817753,psf_trial6_00006315.fits,-0.908613,0.560420,-3.430015,52.000000,44.000000
1577964776.612448,psf_trial6_00006320.fits,-0.910428,-1.737905,-3.390424,52.000000,44.000000
1577964777.418634,psf_trial6_00006326.fits,-1.153909,-2.866428,-0.825395,52.000000,44.000000
1577964778.441021,psf_trial6_00006331.fits,-1.160946,-0.982925,-0.749093,52.000000,44.000000
1577964779.263552,psf_trial6_00006337.fits,-0.905948,2.652118,-2.841734,52.000000,44.000000
1577964780.064740,psf_trial6_00006343.fits,-0.805189,7.615535,-1.887772,52.000000,44.000000
1577964780.879978,psf_trial6_00006348.fits,-0.810637,-10.074952,-1.970505,53.000000,44.000000
1577964781.690126,psf_trial6_00006354.fits,-0.559449,-7.258181,5.207736,53.000000,44.000000
1577964782.502627,psf_trial6_00006359.fits,-0.559449,-7.258181,5.207736,53.000000,44.000000
1577964783.315275,psf_trial6_00006365.fits,-0.309681,-6.934698,-3.172475,53.000000,44.000000
1577964784.123817,psf_trial6_00006371.fits,-0.556147,-7.168712,6.106793,53.000000,44.000000
1577964784.925686,psf_trial6_00006376.fits,-0.306642,-8.638594,-3.087354,53.000000,44.000000
1577964785.750485,psf_trial6_00006382.fits,-0.563161,-9.425709,5.484664,53.000000,44.000000
1577964786.554078,psf_trial6_00006388.fits,-0.896997,10.060228,-1.108117,52.000000,44.000000
1577964787.362327,psf_trial6_00006393.fits,-1.157007,9.150874,0.906453,52.000000,44.000000
1577964788.169463,psf_trial6_00006399.fits,-1.242260,7.488795,6.935001,52.000000,44.000000
1577964788.988986,psf_trial6_00006404.fits,-1.583618,5.579471,6.328226,52.000000,44.000000
1577964789.795722,psf_trial6_00006410.fits,-1.242993,6.451092,5.733404,52.000000,44.000000
1577964790.607525,psf_trial6_00006416.fits,-0.901975,6.202825,-1.796455,52.000000,44.000000
1577964791.406935,psf_trial6_00006421.fits,-0.901975,6.202825,-1.796455,52.000000,44.000000
1577964792.222786,psf_trial6_00006427.fits,-1.157499,2.624539,-0.142539,52.000000,44.000000
1577964793.042323,psf_trial6_00006433.fits,-1.158078,-0.168131,-0.165714,52.000000,44.000000
1577964793.852783,psf_trial6_00006438.fits,-1.392498,0.169586,7.361316,52.000000,44.000000
1577964794.655362,psf_trial6_00006444.fits,-1.314546,0.570557,3.687484,52.000000,44.000000
1577964795.470827,psf_trial6_00006450.fits,-1.315975,-2.060276,2.812805,52.000000,44.000000
1577964796.282968,psf_trial6_00006455.fits,-1.060870,-2.431917,-3.718925,52.000000,44.000000
1577964797.081642,psf_trial6_00006461.fits,-0.974528,-0.352402,-7.571710,52.000000,44.000000
1577964797.887859,psf_trial6_00006467.fits,-1.314951,-0.279221,3.649643,52.000000,44.000000
1577964798.715511,psf_trial6_00006472.fits,-1.490278,-1.111644,8.066092,52.000000,44.000000
1577964799.575417,psf_trial6_00006478.fits,-1.650153,-3.187452,0.951656,52.000000,44.000000
1577964800.386948,psf_trial6_00006484.fits,-1.559117,-2.091981,1.223139,52.000000,44.000000
1577964801.192760,psf_trial6_00006490.fits,-1.559117,-2.091981,1.223139,52.000000,44.000000
1577964802.012865,psf_trial6_00006495.fits,-1.649099,-2.214595,2.863603,52.000000,44.000000
1577964802.832897,psf_trial6_00006501.fits,-1.391920,0.192427,8.472173,52.000000,44.000000
1577964803.648989,psf_trial6_00006507.fits,-0.940728,-1.861059,-13.863203,52.000000,45.000000
1577964804.461654,psf_trial6_00006512.fits,-0.942800,-1.893253,-13.086586,52.000000,45.000000
1577964805.266622,psf_trial6_00006518.fits,-1.199505,-2.971335,-9.929433,52.000000,45.000000
1577964806.063917,psf_trial6_00006524.fits,-1.199505,-2.971335,-9.929433,52.000000,45.000000
1577964806.872314,psf_trial6_00006529.fits,-1.288237,-1.920372,-4.152438,52.000000,45.000000
1577964807.687186,psf_trial6_00006535.fits,-1.286079,-0.744302,-4.022693,52.000000,45.000000
1577964808.496509,psf_trial6_00006540.fits,-1.200373,-5.744494,-9.072996,52.000000,45.000000
1577964809.314025,psf_trial6_00006546.fits,-1.435130,-5.090282,-3.491590,52.000000,45.000000
1577964810.122183,psf_trial6_00006552.fits,-1.626114,-6.406060,-3.905703,52.000000,45.000000
1577964810.935286,psf_trial6_00006557.fits,-1.624337,-1.642775,-3.973812,52.000000,45.000000
1577964811.744523,psf_trial6_00006563.fits,-1.622872,1.916467,-3.971755,52.000000,45.000000
1577964812.565161,psf_trial6_00006569.fits,-1.521015,2.198163,-5.338265,52.000000,45.000000
1577964813.360751,psf_trial6_00006574.fits,-1.277537,2.873368,-5.295281,52.000000,45.000000
