time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577954464.537217,psf_trial2_00003917.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954465.297042,psf_trial2_00003922.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954466.050622,psf_trial2_00003928.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954466.807961,psf_trial2_00003933.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954467.551485,psf_trial2_00003938.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954468.313096,psf_trial2_00003943.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954469.063825,psf_trial2_00003948.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954469.815480,psf_trial2_00003954.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954470.574815,psf_trial2_00003959.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954471.351845,psf_trial2_00003964.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954472.122273,psf_trial2_00003970.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954472.870812,psf_trial2_00003975.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954473.636813,psf_trial2_00003980.fits,1.885620,0.026915,0.404787,50.000000,50.000000
1577954474.511750,psf_trial2_00003985.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954475.270320,psf_trial2_00003991.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954476.030235,psf_trial2_00003996.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954476.789900,psf_trial2_00004001.fits,-1.741649,-0.067050,-4.846325,50.000000,50.000000
1577954477.537162,psf_trial2_00004007.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954478.306565,psf_trial2_00004012.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954479.060284,psf_trial2_00004017.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954479.814584,psf_trial2_00004022.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954480.564972,psf_trial2_00004028.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954481.328472,psf_trial2_00004033.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954482.089770,psf_trial2_00004038.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954482.845037,psf_trial2_00004043.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954483.608527,psf_trial2_00004049.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954484.368740,psf_trial2_00004054.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
