filename,opd_injected,tip_injected,tilt_injected,x_shift_injected,y_shift_injected
psf_trial5_00007110.fits,0.0,0.0,0.0,-2.375,3.125000000000001
psf_trial5_00008726.fits,0.0,0.0,0.0,-1.125,0.3749999999999997
psf_trial5_00009090.fits,0.0,0.0,0.0,-1.624999999999999,0.4999999999999997
psf_trial5_00005027.fits,0.0,0.0,0.0,-2.25,1.875
psf_trial5_00005358.fits,0.0,0.0,0.0,-2.875000000000001,1.875
psf_trial5_00007094.fits,0.0,0.0,0.0,-2.375,3.250000000000001
psf_trial5_00003290.fits,0.0,0.0,0.0,0.2500000000000001,-0.125
psf_trial5_00001451.fits,0.0,0.0,0.0,-0.375,-0.25
psf_trial5_00000260.fits,0.0,0.0,0.0,-0.375,-0.7500000000000001
psf_trial5_00000991.fits,0.0,0.0,0.0,-1.0,0.7500000000000001
psf_trial5_00005663.fits,0.0,0.0,0.0,-3.875000000000001,2.25
psf_trial5_00006171.fits,0.0,0.0,0.0,-4.750000000000002,2.875
psf_trial5_00008554.fits,0.0,0.0,0.0,-1.75,0.9999999999999997
psf_trial5_00004549.fits,0.0,0.0,0.0,-0.8750000000000001,0.1250000000000001
psf_trial5_00001092.fits,0.0,0.0,0.0,-1.25,0.5000000000000001
psf_trial5_00007309.fits,0.0,0.0,0.0,-2.75,1.75
psf_trial5_00004134.fits,0.0,0.0,0.0,-0.375,0.6250000000000001
psf_trial5_00005357.fits,0.0,0.0,0.0,-2.750000000000001,1.875
psf_trial5_00003194.fits,0.0,0.0,0.0,0.2500000000000001,-0.25
psf_trial5_00000747.fits,0.0,0.0,0.0,-1.125,0.5000000000000001
psf_trial5_00008111.fits,0.0,0.0,0.0,-2.25,1.75
psf_trial5_00001385.fits,0.0,0.0,0.0,-1.125,-0.25
psf_trial5_00000923.fits,0.0,0.0,0.0,-1.125,0.3750000000000001
psf_trial5_00006373.fits,0.0,0.0,0.0,-4.250000000000002,3.875000000000001
psf_trial5_00006069.fits,0.0,0.0,0.0,-4.750000000000002,3.0
psf_trial5_00007879.fits,0.0,0.0,0.0,-2.5,1.875
psf_trial5_00007208.fits,0.0,0.0,0.0,-2.625,2.625
psf_trial5_00004011.fits,0.0,0.0,0.0,-0.375,-0.375
psf_trial5_00009292.fits,0.0,0.0,0.0,-1.875,0.6249999999999997
psf_trial5_00003176.fits,0.0,0.0,0.0,0.2500000000000001,-0.375
psf_trial5_00008129.fits,0.0,0.0,0.0,-2.5,1.624999999999999
psf_trial5_00007019.fits,0.0,0.0,0.0,-2.375,2.875
psf_trial5_00004195.fits,0.0,0.0,0.0,-0.25,0.5000000000000001
psf_trial5_00008975.fits,0.0,0.0,0.0,-1.125,0.2499999999999996
psf_trial5_00001943.fits,0.0,0.0,0.0,-1.75,-1.875
psf_trial5_00008469.fits,0.0,0.0,0.0,-2.375,1.125
psf_trial5_00005351.fits,0.0,0.0,0.0,-2.625,1.875
psf_trial5_00008033.fits,0.0,0.0,0.0,-2.5,1.875
psf_trial5_00008017.fits,0.0,0.0,0.0,-2.625,1.75
psf_trial5_00007136.fits,0.0,0.0,0.0,-2.625,2.75
psf_trial5_00002722.fits,0.0,0.0,0.0,-1.125,-1.0
psf_trial5_00003283.fits,0.0,0.0,0.0,0.2500000000000001,-0.125
psf_trial5_00002799.fits,0.0,0.0,0.0,-0.7500000000000001,-0.5
psf_trial5_00009928.fits,0.0,0.0,0.0,-0.7499999999999997,0.3749999999999997
psf_trial5_00008339.fits,0.0,0.0,0.0,-2.25,1.875
psf_trial5_00003702.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.375
psf_trial5_00005772.fits,0.0,0.0,0.0,-3.500000000000001,2.25
psf_trial5_00002563.fits,0.0,0.0,0.0,-1.0,-1.625
psf_trial5_00004738.fits,0.0,0.0,0.0,-0.8750000000000001,0.7500000000000001
psf_trial5_00005975.fits,0.0,0.0,0.0,-4.375000000000002,3.125000000000001
psf_trial5_00001876.fits,0.0,0.0,0.0,-1.5,-1.75
psf_trial5_00000600.fits,0.0,0.0,0.0,-0.25,-0.25
psf_trial5_00000080.fits,0.0,0.0,0.0,-0.25,-0.375
psf_trial5_00000724.fits,0.0,0.0,0.0,-0.8750000000000001,0.3750000000000001
psf_trial5_00001595.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.375
psf_trial5_00000200.fits,0.0,0.0,0.0,0.0,-0.375
psf_trial5_00007749.fits,0.0,0.0,0.0,-2.5,2.25
psf_trial5_00001932.fits,0.0,0.0,0.0,-1.75,-1.875
psf_trial5_00000832.fits,0.0,0.0,0.0,-1.25,4.33680868994201e-17
psf_trial5_00008386.fits,0.0,0.0,0.0,-2.5,1.75
psf_trial5_00009278.fits,0.0,0.0,0.0,-1.75,0.4999999999999997
psf_trial5_00000745.fits,0.0,0.0,0.0,-1.125,0.5000000000000001
psf_trial5_00000652.fits,0.0,0.0,0.0,-0.5,-0.125
psf_trial5_00009339.fits,0.0,0.0,0.0,-1.499999999999999,0.6249999999999997
psf_trial5_00000453.fits,0.0,0.0,0.0,0.2500000000000001,4.33680868994201e-17
psf_trial5_00003871.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.25
psf_trial5_00004888.fits,0.0,0.0,0.0,-1.25,1.5
psf_trial5_00004973.fits,0.0,0.0,0.0,-1.875,1.625
psf_trial5_00002154.fits,0.0,0.0,0.0,-0.7500000000000001,-2.25
psf_trial5_00001403.fits,0.0,0.0,0.0,-1.0,-0.25
psf_trial5_00003265.fits,0.0,0.0,0.0,0.2500000000000001,-0.25
psf_trial5_00000403.fits,0.0,0.0,0.0,0.2500000000000001,4.33680868994201e-17
psf_trial5_00002638.fits,0.0,0.0,0.0,-0.8750000000000001,-1.375
psf_trial5_00002585.fits,0.0,0.0,0.0,-0.8750000000000001,-1.75
psf_trial5_00008119.fits,0.0,0.0,0.0,-2.25,1.75
psf_trial5_00009341.fits,0.0,0.0,0.0,-1.499999999999999,0.6249999999999997
psf_trial5_00009225.fits,0.0,0.0,0.0,-1.624999999999999,0.6249999999999997
psf_trial5_00009839.fits,0.0,0.0,0.0,-1.125,-0.1250000000000004
psf_trial5_00002030.fits,0.0,0.0,0.0,-1.625,-2.125
psf_trial5_00002633.fits,0.0,0.0,0.0,-0.8750000000000001,-1.625
psf_trial5_00003840.fits,0.0,0.0,0.0,-0.25,-0.25
psf_trial5_00001323.fits,0.0,0.0,0.0,-0.8750000000000001,-0.25
psf_trial5_00001586.fits,0.0,0.0,0.0,-0.25,-0.375
psf_trial5_00006994.fits,0.0,0.0,0.0,-2.5,3.125000000000001
psf_trial5_00001524.fits,0.0,0.0,0.0,-0.25,-0.25
psf_trial5_00002520.fits,0.0,0.0,0.0,-0.8750000000000001,-1.625
psf_trial5_00003458.fits,0.0,0.0,0.0,0.3750000000000001,4.33680868994201e-17
psf_trial5_00005556.fits,0.0,0.0,0.0,-3.625000000000001,1.875
psf_trial5_00000062.fits,0.0,0.0,0.0,-0.25,-0.5
psf_trial5_00008910.fits,0.0,0.0,0.0,-1.25,0.3749999999999997
psf_trial5_00007779.fits,0.0,0.0,0.0,-2.625,1.875
psf_trial5_00005398.fits,0.0,0.0,0.0,-3.250000000000001,1.625
psf_trial5_00007409.fits,0.0,0.0,0.0,-2.5,1.624999999999999
psf_trial5_00009148.fits,0.0,0.0,0.0,-1.375,0.4999999999999997
psf_trial5_00005945.fits,0.0,0.0,0.0,-4.375000000000002,3.125000000000001
psf_trial5_00005818.fits,0.0,0.0,0.0,-4.000000000000002,2.375
psf_trial5_00007770.fits,0.0,0.0,0.0,-2.5,1.875
psf_trial5_00009043.fits,0.0,0.0,0.0,-1.375,0.2499999999999996
psf_trial5_00006427.fits,0.0,0.0,0.0,-4.125000000000002,3.500000000000001
psf_trial5_00006183.fits,0.0,0.0,0.0,-4.875000000000003,3.0
psf_trial5_00007066.fits,0.0,0.0,0.0,-2.25,3.500000000000001
psf_trial5_00001559.fits,0.0,0.0,0.0,-0.125,-0.5
psf_trial5_00002025.fits,0.0,0.0,0.0,-1.625,-2.25
psf_trial5_00009939.fits,0.0,0.0,0.0,-0.6249999999999997,0.4999999999999997
psf_trial5_00001610.fits,0.0,0.0,0.0,-0.125,-0.625
psf_trial5_00008157.fits,0.0,0.0,0.0,-2.75,2.125
psf_trial5_00007983.fits,0.0,0.0,0.0,-3.0,1.624999999999999
psf_trial5_00007260.fits,0.0,0.0,0.0,-2.625,2.125
psf_trial5_00007814.fits,0.0,0.0,0.0,-2.375,1.624999999999999
psf_trial5_00001140.fits,0.0,0.0,0.0,-1.375,0.3750000000000001
psf_trial5_00008497.fits,0.0,0.0,0.0,-2.25,1.25
psf_trial5_00003611.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.25
psf_trial5_00006975.fits,0.0,0.0,0.0,-2.375,3.250000000000001
psf_trial5_00007937.fits,0.0,0.0,0.0,-3.125000000000001,1.499999999999999
psf_trial5_00000105.fits,0.0,0.0,0.0,0.0,-0.375
psf_trial5_00008153.fits,0.0,0.0,0.0,-2.75,2.0
psf_trial5_00005760.fits,0.0,0.0,0.0,-3.500000000000001,2.25
psf_trial5_00005209.fits,0.0,0.0,0.0,-1.75,1.875
psf_trial5_00009963.fits,0.0,0.0,0.0,-0.6249999999999997,0.6249999999999997
psf_trial5_00007641.fits,0.0,0.0,0.0,-2.625,2.25
psf_trial5_00009480.fits,0.0,0.0,0.0,-1.25,0.3749999999999997
psf_trial5_00005813.fits,0.0,0.0,0.0,-4.000000000000002,2.25
psf_trial5_00007518.fits,0.0,0.0,0.0,-2.875,1.875
psf_trial5_00007107.fits,0.0,0.0,0.0,-2.375,3.125000000000001
psf_trial5_00002412.fits,0.0,0.0,0.0,-0.8750000000000001,-2.125
psf_trial5_00002551.fits,0.0,0.0,0.0,-1.0,-1.625
psf_trial5_00009887.fits,0.0,0.0,0.0,-1.125,0.1249999999999996
psf_trial5_00002772.fits,0.0,0.0,0.0,-1.125,-0.5
psf_trial5_00008591.fits,0.0,0.0,0.0,-1.499999999999999,0.6249999999999997
psf_trial5_00004680.fits,0.0,0.0,0.0,-1.125,0.5000000000000001
psf_trial5_00005625.fits,0.0,0.0,0.0,-4.000000000000002,2.25
psf_trial5_00000230.fits,0.0,0.0,0.0,-0.125,-0.625
psf_trial5_00000484.fits,0.0,0.0,0.0,0.6250000000000001,4.33680868994201e-17
psf_trial5_00002171.fits,0.0,0.0,0.0,-1.0,-2.5
psf_trial5_00006091.fits,0.0,0.0,0.0,-4.750000000000002,2.75
psf_trial5_00004944.fits,0.0,0.0,0.0,-1.5,1.625
